iter	Passed	Remaining
0	144	72171
1	148	37019
2	152	25201
3	154	19149
4	156	15466
5	157	13001
6	159	11253
7	161	9929
8	163	8900
9	164	8072
10	166	7401
11	168	6852
12	170	6376
13	171	5968
14	173	5619
15	175	5310
16	177	5037
17	178	4790
18	180	4572
19	182	4375
20	184	4201
21	185	4036
22	186	3870
23	188	3735
24	190	3612
25	191	3494
26	193	3387
27	195	3287
28	196	3194
29	199	3121
30	201	3050
31	204	2983
32	206	2917
33	207	2850
34	209	2787
35	211	2726
36	213	2671
37	215	2615
38	217	2567
39	219	2523
40	221	2477
41	223	2437
42	225	2394
43	227	2355
44	229	2317
45	230	2278
46	232	2243
47	234	2208
48	236	2175
49	238	2143
50	240	2113
51	241	2082
52	243	2053
53	245	2025
54	247	1999
55	249	1975
56	251	1951
57	252	1927
58	254	1904
59	256	1883
60	259	1867
61	261	1848
62	263	1828
63	265	1809
64	267	1790
65	269	1771
66	271	1753
67	273	1736
68	275	1719
69	277	1702
70	279	1686
71	281	1672
72	283	1657
73	285	1642
74	287	1628
75	289	1613
76	291	1599
77	293	1586
78	295	1572
79	296	1558
80	298	1545
81	300	1532
82	302	1521
83	304	1508
84	305	1492
85	307	1481
86	309	1469
87	311	1458
88	313	1447
89	315	1437
90	317	1426
91	319	1416
92	321	1407
93	323	1398
94	325	1387
95	327	1377
96	329	1367
97	331	1358
98	333	1350
99	335	1342
100	338	1336
101	340	1328
102	342	1320
103	344	1312
104	346	1305
105	349	1297
106	351	1290
107	353	1283
108	355	1276
109	358	1270
110	360	1263
111	362	1256
112	365	1250
113	367	1242
114	369	1235
115	371	1228
116	373	1221
117	375	1214
118	377	1207
119	379	1200
120	381	1194
121	383	1187
122	385	1181
123	387	1175
124	389	1169
125	391	1163
126	394	1157
127	396	1151
128	398	1145
129	400	1139
130	402	1134
131	404	1128
132	406	1122
133	409	1117
134	411	1111
135	413	1105
136	415	1100
137	417	1094
138	419	1089
139	421	1083
140	423	1078
141	425	1073
142	427	1067
143	429	1062
144	431	1056
145	433	1051
146	435	1046
147	436	1039
148	438	1033
149	440	1028
150	442	1023
151	444	1018
152	446	1013
153	448	1008
154	451	1004
155	453	999
156	455	994
157	457	989
158	459	984
159	461	980
160	463	975
161	465	971
162	467	967
163	469	962
164	472	958
165	474	954
166	476	949
167	478	945
168	480	941
169	482	936
170	484	932
171	486	928
172	488	924
173	490	919
174	492	915
175	495	911
176	497	907
177	499	903
178	501	899
179	503	895
180	505	891
181	507	886
182	509	882
183	511	878
184	513	874
185	515	870
186	517	866
187	519	862
188	521	858
189	523	854
190	525	850
191	527	846
192	529	842
193	531	838
194	533	834
195	535	830
196	537	827
197	539	823
198	541	819
199	543	815
200	545	811
201	547	807
202	549	804
203	551	800
204	553	796
205	555	793
206	557	789
207	559	785
208	561	782
209	564	778
210	566	775
211	568	772
212	570	768
213	572	765
214	575	762
215	577	758
216	579	755
217	581	751
218	583	748
219	585	745
220	587	741
221	589	738
222	591	734
223	593	731
224	595	728
225	597	724
226	599	721
227	602	718
228	604	715
229	606	711
230	608	708
231	610	705
232	612	702
233	614	698
234	616	695
235	619	692
236	621	689
237	623	686
238	625	683
239	630	682
240	632	679
241	634	676
242	636	673
243	638	670
244	641	667
245	643	664
246	645	661
247	647	658
248	649	655
249	652	652
250	654	648
251	656	645
252	658	642
253	660	639
254	662	636
255	664	633
256	666	630
257	668	627
258	670	624
259	672	621
260	674	617
261	676	614
262	679	611
263	681	608
264	683	605
265	685	602
266	687	599
267	689	596
268	691	593
269	693	590
270	695	587
271	697	584
272	699	581
273	701	578
274	703	575
275	705	572
276	707	569
277	709	566
278	711	563
279	713	560
280	716	558
281	718	555
282	720	552
283	722	549
284	725	547
285	727	544
286	729	541
287	731	538
288	733	535
289	735	532
290	737	529
291	739	526
292	741	523
293	743	520
294	745	518
